"rule_id","domain","normalized_rule","current_locations","current_authority_class","proposed_canonical_owner","other_locations_action","compatibility_sensitive","test_coverage","layer","harness_component","stage1_action","notes"
"SAGE-AUTH-001","Authority","Project authority outranks SAGE-Kit defaults; SAGE-Kit authority outranks optional adapter and agent defaults without overriding host system authority.","docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/agent/CAPABILITY_ADAPTERS.md","canonical-plus-guide-repetition","docs/SAGE_CORE.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py","Context","ConstraintsRecovery","stage1a-authority-kernel-candidate","Proposed ownership only; preserve project-specific authority and approval gates."
"SAGE-AUTH-002","Authority","Non-trivial work requires an adopted active SPEC, phase, task, normalized manifest, execution packet, or explicit equivalent; path location alone is not authority.","docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/QUALITY_GATES_TEMPLATE.md","canonical-plus-template-repetition","docs/SAGE_CORE.md","convert-to-reference","yes","tests/test_spec_sources.py;tests/test_active_scope.py","Context","Context","defer-outside-stage1a-1d","Templates retain the authority-reference field."
"SAGE-AUTH-003","Governance","Governance is selected per control scope: start Light and upgrade to Standard or Heavy only on defined risk triggers; parent Heavy governance does not make every worker Heavy.","docs/agent/GOVERNANCE_LEVELS.md;docs/SAGE_CORE.md;docs/agent/AGENT_HARNESS.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md","canonical-plus-guide-and-template-repetition","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/unit/test_planning_depth_contract.py;tests/test_sagekit_check.py","Harness","Orchestration","stage1a-authority-kernel-candidate","Preserve Light, Standard, and Heavy user outcomes."
"SAGE-AUTH-004","Governance","Governance level and permission mode are independent; every active controller or worker records both and receives only the named mutation surface.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/AGENT_HARNESS.md;docs/QUALITY_GATES_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","canonical-plus-template-fields","docs/agent/GOVERNANCE_LEVELS.md","retain-template-field","no","tests/unit/test_review_corrective_contracts.py;tests/unit/test_change_control_authority.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Retain packet fields; replace duplicated definitions with pointers."
"SAGE-AUTH-005","Roles","Project Manager decision, Coder implementation/orchestration, independent Final Review verdict, and acceptance remain separate authorities.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/SESSION_ORCHESTRATION.md;docs/agent/AGENT_HARNESS.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md","same-rule-different-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/test_sagekit_check.py;tests/unit/test_review_corrective_contracts.py","Graph","Orchestration","stage1a-authority-kernel-candidate","Controller topology remains in Session Orchestration; authority meaning is proposed here."
"SAGE-AUTH-006","Roles","Final Review remains read-only; correction uses separately CORRECTIVE_AUTHORIZED workers and review verdict ownership stays independent from correction.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/SESSION_ORCHESTRATION.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md;docs/templates/FINAL_REVIEW_PACKET_TEMPLATE.md;docs/templates/CORRECTIVE_PACKET_TEMPLATE.md","authority-rule-with-conflicting-template-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/unit/test_review_corrective_contracts.py;tests/test_sagekit_check.py","Loop","ConstraintsRecovery","stage1a-authority-kernel-candidate","Engineering System wording can imply that the reviewer itself may receive corrective write authority."
"SAGE-AUTH-007","Roles","Commit, push, merge, publish, release, and cleanup require a distinct post-verdict SUBMIT_AUTHORIZED grant; implementation or review authority does not imply submit authority.","docs/agent/GOVERNANCE_LEVELS.md;docs/agent/AGENT_HARNESS.md;docs/ENGINEERING_SYSTEM_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md;docs/templates/MILESTONE_RESULT_PACKET_TEMPLATE.md","canonical-plus-template-repetition","docs/agent/GOVERNANCE_LEVELS.md","retain-template-field","yes","tests/unit/test_change_control_authority.py;tests/test_sagekit_check.py","Graph","ConstraintsRecovery","stage1a-authority-kernel-candidate","A separate node is optional; the permission boundary is not."
"SAGE-AUTH-008","Waiver","Finding ownership does not grant waiver authority; waivers require the named Waiver Authority or explicit delegation and human-only gates remain with their named human authority.","docs/agent/GOVERNANCE_LEVELS.md;docs/QUALITY_GATES_TEMPLATE.md;docs/templates/ENTRY_GATE_TEMPLATE.md;docs/templates/MILESTONE_CLOSEOUT_TEMPLATE.md","canonical-plus-weaker-template-wording","docs/agent/GOVERNANCE_LEVELS.md","convert-to-reference","no","tests/test_sagekit_check.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Generic project-owner waiver wording must not broaden authority."
"SAGE-AUTH-009","Approval","Approval is explicit and target-scoped; agents cannot infer, broaden, or cross closed approval gates or perform runtime, destructive, external, or submit mutations beyond the grant.","docs/SAGE_CORE.md;docs/APPROVAL_GATES_TEMPLATE.md;docs/agent/AGENT_HARNESS.md;docs/templates/AGENT_PROMPT_TEMPLATE.md","core-principle-plus-template-catalog","docs/SAGE_CORE.md","retain-template-field","yes","tests/unit/test_change_control_authority.py;tests/test_sagekit_check.py","Harness","ConstraintsRecovery","stage1a-authority-kernel-candidate","Project instances continue to own their exact gates."
"SAGE-AUTH-010","Prompt Envelope","A launch-only delta may clarify reporting or order but cannot change scope, gates, permissions, ownership, contracts, or runtime authority; missing or contradictory authority fails closed before edits.","docs/templates/AGENT_PROMPT_TEMPLATE.md;docs/templates/MILESTONE_EXECUTION_PACKET_TEMPLATE.md","near-exact-template-duplicate","docs/agent/AGENT_HARNESS.md","convert-to-reference","no","tests/test_sagekit_check.py::test_controller_launch_envelope_references_readable_project_authority","Prompt","Context","stage1b-context-graph-pointers-unauthorized","Templates retain envelope fields and a pointer."
